Flight_number,Leg_no,Dep_airport_code,Arr_airport_code,Scheduled_dep_time,Scheduled_arr_time
1000,1,DFW,MEX,09:55:00,11:20:00
1000,2,MEX,DFW,12:01:00,16:31:00
1001,1,DFW,DFW,05:05:00,08:35:00
1002,1,CLT,YYC,11:55:00,15:25:00
1003,1,PHL,PHL,13:00:00,16:30:00
1004,1,PHL,BOS,09:15:00,13:15:00
1005,1,JFK,DFW,08:25:00,12:25:00
1006,1,LGA,DEN,19:40:00,21:05:00
1007,1,JFK,YYC,14:50:00,17:30:00
1008,1,MIA,MIA,06:50:00,08:40:00
1009,1,JFK,MIA,08:30:00,10:35:00
1010,1,CUN,PHL,16:25:00,19:05:00
1011,1,MIA,MIA,12:10:00,16:10:00
1012,1,PHL,IAH,06:15:00,07:40:00
1012,2,IAH,DTW,08:17:00,10:57:00
1013,1,PHL,LAX,11:45:00,16:15:00
1014,1,CLT,TPA,13:10:00,14:35:00
1014,2,TPA,MIA,15:25:00,19:55:00
1015,1,LGA,LGA,21:35:00,22:40:00
1015,2,LGA,MCO,23:20:00,01:10:00
1016,1,DFW,PHX,18:45:00,20:35:00
1017,1,SLC,PHL,21:20:00,22:55:00
1018,1,DFW,DFW,15:05:00,17:25:00
1019,1,SEA,PHL,05:55:00,08:35:00
1020,1,LGA,HNL,08:50:00,10:15:00
1021,1,LGA,SEA,20:00:00,21:15:00
1021,2,SEA,LGA,21:57:00,01:27:00
1021,3,LGA,LGA,02:25:00,04:00:00
1022,1,CLT,CLT,09:10:00,12:40:00
1022,2,CLT,CLT,13:45:00,15:50:00
1023,1,CLT,CLT,11:40:00,14:00:00
1024,1,MIA,SLC,19:40:00,00:40:00
1025,1,DFW,DFW,07:25:00,09:30:00
1026,1,LGA,GDL,12:00:00,14:40:00
1027,1,DFW,DFW,06:25:00,09:25:00
1028,1,LGA,BOS,20:15:00,21:40:00
1029,1,CLT,CLT,20:30:00,22:05:00
1030,1,CLT,DFW,18:35:00,20:10:00
1030,2,DFW,YVR,20:48:00,22:38:00
1031,1,DFW,DFW,19:10:00,21:15:00
1031,2,DFW,DFW,22:17:00,02:47:00
1032,1,MIA,MIA,05:05:00,07:10:00
1032,2,MIA,MIA,08:00:00,10:20:00
1033,1,PHL,BNA,11:30:00,15:00:00
1034,1,SLC,CLT,17:20:00,21:50:00
1035,1,MIA,MIA,06:45:00,08:10:00
1035,2,MIA,MIA,09:19:00,13:19:00
1036,1,MIA,ORD,07:45:00,09:35:00
1036,2,ORD,MIA,10:14:00,12:34:00
1036,3,MIA,MIA,13:24:00,16:04:00
1037,1,DFW,DCA,21:25:00,00:05:00
1037,2,DCA,GDL,00:56:00,03:36:00
1038,1,MIA,BOS,17:10:00,19:15:00
1039,1,PHL,PHL,05:35:00,07:00:00
1040,1,LGA,LGA,07:15:00,10:15:00
1040,2,LGA,LGA,11:13:00,13:03:00
1041,1,CLT,MDW,14:45:00,19:15:00
1042,1,DFW,DFW,09:20:00,12:00:00
1042,2,DFW,DFW,12:53:00,14:43:00
1043,1,CLT,BOS,13:00:00,16:00:00
1043,2,BOS,CLT,16:40:00,18:45:00
1044,1,BOS,DEN,05:25:00,08:25:00
