Airplane_id,Seat_no,Class
PLNCB3A28CD,1A,First Class
PLNCB3A28CD,1B,First Class
PLNCB3A28CD,1C,First Class
PLNCB3A28CD,1D,First Class
PLNCB3A28CD,1E,First Class
PLNCB3A28CD,1F,First Class
PLNCB3A28CD,1G,First Class
PLNCB3A28CD,1H,First Class
PLNCB3A28CD,2A,First Class
PLNCB3A28CD,2B,First Class
PLNCB3A28CD,2C,First Class
PLNCB3A28CD,2D,First Class
PLNCB3A28CD,2E,First Class
PLNCB3A28CD,2F,First Class
PLNCB3A28CD,2G,First Class
PLNCB3A28CD,2H,First Class
PLNCB3A28CD,3A,First Class
PLNCB3A28CD,3B,First Class
PLNCB3A28CD,3C,First Class
PLNCB3A28CD,3D,First Class
PLNCB3A28CD,3E,First Class
PLNCB3A28CD,3F,First Class
PLNCB3A28CD,3G,First Class
PLNCB3A28CD,3H,First Class
PLNCB3A28CD,4A,Business
PLNCB3A28CD,4B,Business
PLNCB3A28CD,4C,Business
PLNCB3A28CD,4D,Business
PLNCB3A28CD,4E,Business
PLNCB3A28CD,4F,Business
PLNCB3A28CD,4G,Business
PLNCB3A28CD,4H,Business
PLNCB3A28CD,5A,Business
PLNCB3A28CD,5B,Business
PLNCB3A28CD,5C,Business
PLNCB3A28CD,5D,Business
PLNCB3A28CD,5E,Business
PLNCB3A28CD,5F,Business
PLNCB3A28CD,5G,Business
PLNCB3A28CD,5H,Business
PLNCB3A28CD,6A,Business
PLNCB3A28CD,6B,Business
PLNCB3A28CD,6C,Business
PLNCB3A28CD,6D,Business
PLNCB3A28CD,6E,Business
PLNCB3A28CD,6F,Business
PLNCB3A28CD,6G,Business
PLNCB3A28CD,6H,Business
PLNCB3A28CD,7A,Business
PLNCB3A28CD,7B,Business
PLNCB3A28CD,7C,Business
PLNCB3A28CD,7D,Business
PLNCB3A28CD,7E,Business
PLNCB3A28CD,7F,Business
PLNCB3A28CD,7G,Business
PLNCB3A28CD,7H,Business
PLNCB3A28CD,8A,Business
PLNCB3A28CD,8B,Business
PLNCB3A28CD,8C,Business
PLNCB3A28CD,8D,Business
PLNCB3A28CD,8E,Business
PLNCB3A28CD,8F,Business
PLNCB3A28CD,8G,Business
PLNCB3A28CD,8H,Business
PLNCB3A28CD,9A,Coach
PLNCB3A28CD,9B,Coach
PLNCB3A28CD,9C,Coach
PLNCB3A28CD,9D,Coach
PLNCB3A28CD,9E,Coach
PLNCB3A28CD,9F,Coach
PLNCB3A28CD,9G,Coach
PLNCB3A28CD,9H,Coach
PLNCB3A28CD,10A,Coach
PLNCB3A28CD,10B,Coach
PLNCB3A28CD,10C,Coach
