Airplane_id,Seat_no,Flight_number,Leg_no,Date
PLNB3E6AE87,10F,4091,1,2025-10-18
PLN53298611,12C,1089,2,2025-11-01
PLN10BBD33C,29D,3077,1,2025-10-06
PLN5C1AF452,26B,4014,3,2025-10-09
PLNCC04AA08,21A,2092,1,2025-12-01
PLN0F7DD076,26F,4018,1,2025-11-23
PLNEA04C659,32E,2087,1,2025-12-23
PLN858AA0D3,33B,3060,1,2025-12-20
PLNCFAEFF1D,28C,4002,1,2025-11-08
PLN33696B0A,1C,3028,1,2025-10-31
PLN941AACF5,4H,3087,1,2025-10-31
PLNECD4E916,7F,1035,1,2025-11-17
PLNAC15D25B,23C,4091,1,2025-11-29
PLN53B3B470,28D,2057,1,2025-10-27
PLN2AD0A7E6,30D,3071,1,2025-11-30
PLN13377C94,29B,3022,2,2025-10-20
PLN56690E38,10E,3001,1,2025-10-27
PLNFB78BB80,30H,1031,2,2025-10-05
PLNAC15D25B,9E,3032,1,2025-11-07
PLN7CA66A0D,19G,2013,1,2025-11-26
PLN5ACFC03C,2C,2067,1,2025-11-09
PLNA13C0F68,18C,2090,2,2025-12-03
PLN1753A0C0,6D,4043,1,2025-10-08
PLN71EBC029,1G,1075,2,2025-11-28
PLN8CC00DD1,18C,4094,1,2025-11-15
PLN2D210B44,17A,3008,2,2025-10-30
PLNBE1A49D1,24D,4038,2,2025-11-10
PLN7466B2D7,10C,1084,1,2025-12-21
PLNBE1A49D1,10F,4083,1,2025-11-02
PLN98D56B26,16F,1073,1,2025-12-22
PLNBA5E16F1,3D,1065,2,2025-12-06
PLN7CA66A0D,22H,3073,1,2025-11-22
PLN1E8599F1,10D,3029,1,2025-10-27
PLN1753A0C0,19B,1088,1,2025-11-19
PLN7E760207,29H,2005,2,2025-12-09
PLN15597200,1J,1042,2,2025-12-01
PLN2425B618,14E,2094,3,2025-12-29
PLN941AACF5,8D,3024,1,2025-11-02
PLN7E760207,31H,1034,1,2025-10-23
PLN13377C94,2C,2018,1,2025-10-11
PLN09FA17E6,18C,3012,1,2025-12-07
PLN8D4E5834,5D,3020,1,2025-11-28
PLNACAF808B,2A,1015,2,2025-11-04
PLNBE1A49D1,23F,4079,2,2025-11-07
PLNCFAEFF1D,30C,4089,3,2025-12-14
PLN8D4E5834,10G,2039,2,2025-10-07
PLNB3E6AE87,25E,4028,2,2025-10-26
PLNC6971CE2,7B,1066,1,2025-10-26
PLNC6971CE2,15F,4074,1,2025-11-19
PLND35EC308,24F,2088,1,2025-12-08
PLN9890520A,12F,1070,1,2025-12-20
PLN33696B0A,5C,3028,1,2025-12-22
PLNF21B08A5,26G,3086,1,2025-11-12
PLNACAF808B,3C,4076,1,2025-11-21
PLN913D9B15,17A,3072,1,2025-10-12
PLN8E2E4EA6,35F,4077,2,2025-10-15
PLNF0AF5F02,29F,4055,1,2025-11-05
PLNEA04C659,22D,1042,2,2025-12-26
PLNB65E8D72,12B,4010,1,2025-12-31
PLN8DD14DB7,3A,3087,1,2025-10-04
PLN33696B0A,30E,4074,2,2025-10-28
PLN2D210B44,18B,4087,1,2025-10-12
PLND35EC308,17D,2071,1,2025-12-26
PLN9F9A25EE,33E,2089,1,2025-12-15
PLNBE1A49D1,23B,3091,1,2025-10-04
PLNCC04AA08,34C,3021,1,2025-12-21
PLNCE4B8E4E,2A,4081,1,2025-11-21
PLNAC15D25B,13B,2056,1,2025-10-24
PLNBE1A49D1,20A,1002,1,2025-10-20
PLNB3E6AE87,28B,1049,1,2025-11-10
PLNB65E8D72,20F,2082,1,2025-12-05
PLNB35C0B5E,6D,3075,1,2025-11-22
PLNB65E8D72,21F,2085,1,2025-11-10
PLN5C1AF452,4E,2069,1,2025-12-09
PLN15597200,28C,2078,1,2025-12-04
PLNACAF808B,15A,4045,1,2025-12-20
PLND35EC308,13F,2067,1,2025-12-16
PLNBA5E16F1,13C,1029,1,2025-11-22
PLN24597B77,17B,1085,1,2025-11-07
PLNA340D395,32C,3009,1,2025-12-07
PLNE00DD798,27C,4020,1,2025-11-07
PLN77A60286,14B,2066,1,2025-10-07
PLN4930A1C4,21C,1013,1,2025-11-04
PLN3DEE6B5B,15F,2094,1,2025-10-22
PLN11DCE93B,25B,1088,1,2025-12-07
PLN0714E876,1B,4028,1,2025-11-29
PLNE24CEC11,21C,4039,1,2025-11-02
PLN77A60286,30B,1085,1,2025-11-15
PLN98D56B26,15F,2061,2,2025-10-04
PLNCFAEFF1D,7F,4099,1,2025-10-09
PLN9C0ACC4F,29A,1038,1,2025-11-06
PLNFB78BB80,19B,2036,1,2025-10-05
PLN2DA19843,15D,3098,1,2025-12-19
PLN8E2E4EA6,1E,4088,3,2025-11-14
PLNFDE9902F,14C,3058,2,2025-10-08
PLN2D210B44,18B,3008,2,2025-11-01
PLN1753A0C0,15E,3091,2,2025-11-15
PLNFF8A596E,3C,4069,1,2025-12-02
PLN09FA17E6,20D,4023,1,2025-11-06
PLN8CC00DD1,22F,1037,2,2025-11-18
PLNF0AF5F02,31D,1019,1,2025-11-16
PLNDF95BE55,1E,1036,1,2025-10-01
PLNEDAB43C9,31A,2037,1,2025-12-17
PLN8CC00DD1,3D,1019,1,2025-12-14
PLNBA5E16F1,29D,2012,2,2025-10-31
PLN77A60286,21B,4079,1,2025-12-17
PLN33696B0A,19F,3076,2,2025-12-20
PLN71EBC029,7D,1081,1,2025-11-25
PLN362D517C,34C,2063,1,2025-11-27
PLNAD554C55,4E,4013,1,2025-10-03
PLN9890520A,15E,1077,3,2025-12-09
PLN24597B77,23C,1062,2,2025-12-12
PLN11DCE93B,5E,1088,1,2025-12-23
PLN4D1B10E3,11C,3001,1,2025-10-02
PLNAD554C55,25A,2061,1,2025-12-20
PLNA13C0F68,12F,1072,2,2025-12-03
PLNE00DD798,2B,4093,2,2025-11-18
PLNCFAEFF1D,16C,2093,2,2025-10-30
PLN13377C94,27D,1003,1,2025-12-24
PLN2AD0A7E6,19B,4009,1,2025-12-03
PLNA13C0F68,21B,1030,1,2025-12-22
PLNF499F8E1,12F,3065,1,2025-10-20
PLN24597B77,29C,3058,1,2025-12-27
PLN84CA1279,15B,3052,1,2025-11-05
PLN858AA0D3,14G,2052,1,2025-11-20
PLN7E760207,1H,2051,1,2025-10-01
PLNCE4B8E4E,5D,2077,1,2025-12-18
PLN1A610FC6,28D,2084,1,2025-11-28
PLNCE4B8E4E,18F,1045,1,2025-12-23
PLN98D56B26,13C,1009,1,2025-10-18
PLN53298611,28F,3092,2,2025-10-11
PLN9C5513E5,12D,4060,1,2025-10-31
PLNCC04AA08,8E,2042,1,2025-11-12
PLN53298611,14D,4038,1,2025-11-19
PLN3DEE6B5B,16D,1094,1,2025-12-08
PLN8CC00DD1,8B,1005,1,2025-11-14
PLNAC15D25B,7C,1046,1,2025-10-27
PLN2DA19843,18A,3038,1,2025-12-23
PLN2AD0A7E6,8E,1063,2,2025-11-26
PLNACAF808B,7C,4047,1,2025-12-19
PLND35EC308,12D,1045,1,2025-10-09
PLNCE4B8E4E,29D,1020,1,2025-12-01
PLNB65E8D72,28D,4060,1,2025-12-10
PLN666CF97C,21F,2017,1,2025-10-10
PLN3DEE6B5B,4A,1099,1,2025-10-15
PLNFDE9902F,14B,1088,1,2025-10-27
PLNCA3BE028,19D,3069,1,2025-12-21
PLNB3E6AE87,17E,2048,1,2025-10-21
PLNECD4E916,11F,4061,2,2025-12-20
PLNE00DD798,8D,4084,1,2025-12-08
PLNB20A20AB,31G,2010,1,2025-12-24
PLNEA04C659,22B,1029,1,2025-12-23
PLNDF95BE55,19A,4075,1,2025-12-22
PLN9C5513E5,20B,4054,1,2025-11-26
PLN77A60286,5E,3061,2,2025-10-16
PLN1753A0C0,19F,3091,1,2025-10-11
PLNCC04AA08,34C,3000,3,2025-12-28
PLN53B3B470,1E,4095,1,2025-11-07
PLN2DA19843,9D,3083,2,2025-11-27
PLN0714E876,28A,4080,1,2025-12-03
PLN71EBC029,20C,2008,1,2025-11-12
PLN13377C94,29A,3070,1,2025-12-18
PLN09FA17E6,9E,4062,1,2025-12-07
PLNEA04C659,9J,2081,1,2025-10-24
PLNDFB94CA8,10F,4000,1,2025-12-19
PLN15597200,22K,1042,1,2025-11-05
PLNAD554C55,20E,1035,2,2025-10-04
PLN09FA17E6,17E,3012,1,2025-12-16
PLN1E8599F1,18A,1084,1,2025-10-09
PLND35EC308,9F,1009,1,2025-10-17
PLN2DA19843,10A,4027,1,2025-12-31
PLN5C1AF452,16C,4085,1,2025-10-23
PLN8CC00DD1,29B,4005,1,2025-11-30
PLNCC04AA08,5C,2086,1,2025-12-05
PLNEDAB43C9,5B,1035,2,2025-10-13
PLN7E760207,30G,1065,2,2025-11-09
PLN98D56B26,23C,4080,1,2025-12-01
PLNB3E6AE87,8D,3004,1,2025-10-12
PLN2425B618,14B,4074,2,2025-12-09
PLN2425B618,19C,2003,1,2025-10-13
PLN71EBC029,7J,1068,2,2025-11-13
PLN858AA0D3,13D,3020,1,2025-12-24
PLNAD554C55,12F,4047,2,2025-11-25
PLNEFAF4938,28F,2069,2,2025-11-05
PLN9C5513E5,9D,1023,1,2025-11-06
PLN24597B77,1E,4029,3,2025-11-14
PLNC3CA9592,22A,1012,2,2025-12-12
PLN15597200,26E,1029,1,2025-12-22
PLNB1DFEBD0,27D,2032,1,2025-10-26
PLNB35C0B5E,1A,1053,1,2025-10-28
PLNAD554C55,12E,4013,3,2025-10-27
PLN5C1AF452,9F,2069,1,2025-11-13
PLN3B244BA3,16F,2007,1,2025-12-09
PLN50C1051E,26B,3011,2,2025-12-31
PLN8E2E4EA6,19D,3051,1,2025-11-29
PLN666CF97C,23B,4013,1,2025-12-08
PLN3DA83D8F,25F,4027,1,2025-11-12
PLN8E2E4EA6,35D,1093,1,2025-10-19
PLNCFAEFF1D,7D,2097,1,2025-12-18
PLN53B3B470,15C,1014,1,2025-10-03
PLNCC04AA08,18A,1090,1,2025-10-12
PLN9890520A,16D,4088,2,2025-10-17
PLNDDE786FB,20D,4058,1,2025-10-20
PLN3B244BA3,10D,1009,1,2025-11-22
PLN76DB865F,23E,3050,1,2025-10-05
PLN2AD0A7E6,1F,2003,1,2025-11-14
PLNECD4E916,20B,2070,1,2025-12-09
PLN8E2E4EA6,9C,3049,1,2025-10-25
PLNC9699B98,2E,3017,1,2025-12-15
PLN16F4A5BF,28F,3075,1,2025-12-29
PLN15597200,17C,2012,2,2025-10-30
PLN66360715,18D,3083,2,2025-12-10
PLND35EC308,10A,2071,2,2025-12-26
PLN3DEE6B5B,16C,1099,1,2025-11-23
PLNAC15D25B,32A,2032,3,2025-11-16
PLNE00DD798,16E,1005,1,2025-12-09
PLN666CF97C,1C,4006,2,2025-12-23
PLND0925E1E,19D,3046,1,2025-11-23
PLNEA04C659,25A,1065,2,2025-11-19
PLNAE48CDB3,22E,4040,1,2025-10-18
PLNDF95BE55,19F,2044,1,2025-12-25
PLNACAF808B,18D,2056,1,2025-10-14
PLN1753A0C0,16B,2015,1,2025-12-08
PLN858AA0D3,21G,2039,1,2025-12-19
PLN9890520A,27D,2000,1,2025-10-28
PLN9890520A,24A,1053,1,2025-10-01
PLN09FA17E6,27F,2092,1,2025-10-12
PLN362D517C,14G,3086,1,2025-11-21
PLN16F4A5BF,29A,3022,2,2025-11-01
PLNECD4E916,26B,1045,1,2025-10-12
PLNE9EBF149,12D,2042,1,2025-11-04
PLN9F9A25EE,24F,1030,2,2025-12-11
PLN717F6622,12C,4090,1,2025-10-06
PLNAD554C55,29A,2048,1,2025-11-07
PLNC6971CE2,13E,1085,1,2025-11-14
PLNACAF808B,7F,4080,1,2025-10-13
PLNFB78BB80,30D,1075,2,2025-10-14
PLNB35C0B5E,31C,4046,1,2025-12-18
PLNACAF808B,29B,4064,1,2025-11-30
PLN2425B618,4A,4011,1,2025-10-13
PLNB35C0B5E,28A,2090,1,2025-11-26
PLN0F7DD076,26E,3066,1,2025-10-11
PLN7466B2D7,13E,4086,2,2025-10-15
PLN24597B77,17F,3058,2,2025-10-22
PLN9C0ACC4F,15F,1060,1,2025-10-09
PLNC3CA9592,3B,1051,1,2025-11-05
PLNDFB94CA8,29D,4084,1,2025-10-28
PLN941AACF5,4G,3089,1,2025-12-15
PLN4930A1C4,20D,3097,1,2025-10-30
PLNC3CA9592,9E,1059,1,2025-12-03
PLN8D4E5834,25D,2039,1,2025-12-31
PLN9C5513E5,18B,2073,1,2025-12-25
PLNC6971CE2,9F,1006,1,2025-12-31
PLN666CF97C,24C,4066,1,2025-11-28
PLNCFAEFF1D,16E,2055,1,2025-10-26
PLN2AD0A7E6,29E,2058,1,2025-12-26
PLN0F7DD076,8E,1019,1,2025-11-20
PLN2D210B44,11C,3029,1,2025-11-07
PLN88615ABB,25H,1091,1,2025-10-07
PLNCA3BE028,13E,1069,1,2025-12-08
PLNCC04AA08,5A,3070,1,2025-11-17
PLNBE1A49D1,3D,4079,1,2025-11-13
PLNF0AF5F02,22B,2047,1,2025-11-21
PLNCFAEFF1D,9B,4022,1,2025-10-13
PLNFDE9902F,27F,1036,1,2025-11-24
PLN16F4A5BF,26C,3075,1,2025-12-14
PLNDDE786FB,2D,3047,1,2025-11-26
PLNBA5E16F1,31H,2041,3,2025-10-01
PLN5ACFC03C,31B,2080,1,2025-10-20
PLNB1DFEBD0,4C,1004,1,2025-10-05
PLN53B3B470,8A,4084,1,2025-11-29
PLNE9EBF149,35B,2018,1,2025-11-29
PLN88615ABB,27G,2010,1,2025-11-27
PLND0925E1E,22E,3046,1,2025-10-24
PLNA13C0F68,17C,2018,2,2025-11-24
PLNC6971CE2,16E,4034,1,2025-10-11
PLN9F9A25EE,28B,2018,1,2025-10-29
PLN8DD14DB7,25H,3005,1,2025-11-26
PLN4930A1C4,20D,3053,1,2025-12-15
PLNDFB94CA8,22A,2055,1,2025-10-08
PLND35EC308,21E,2071,2,2025-12-03
PLNACAF808B,31C,2001,1,2025-10-29
PLNF0AF5F02,18E,2007,2,2025-12-01
PLN53B3B470,30C,4095,1,2025-12-28
PLN666CF97C,17B,4081,1,2025-12-31
PLNB35C0B5E,30C,3084,1,2025-11-29
PLN8B6AE0B6,13F,1013,1,2025-10-13
PLN9C5513E5,10F,1023,1,2025-10-13
PLN0F7DD076,14D,4016,1,2025-11-10
PLNEDAB43C9,6A,4001,1,2025-12-25
PLNAE48CDB3,3E,3080,1,2025-10-09
PLN98D56B26,23F,2006,1,2025-11-08
PLN9F9A25EE,32B,3019,1,2025-10-14
PLN09FA17E6,15A,2021,1,2025-11-18
PLN13377C94,34B,2022,1,2025-11-25
PLN8E2E4EA6,32A,1040,1,2025-11-13
PLNB1DFEBD0,14A,2001,2,2025-12-09
PLNEFAF4938,3C,4036,1,2025-11-01
PLN1A610FC6,20D,3042,2,2025-10-30
PLN68D8B0D1,6A,2013,1,2025-10-07
PLNB35C0B5E,4E,2042,1,2025-10-11
PLN9C5513E5,6D,1020,1,2025-12-20
PLNBA5E16F1,2B,2029,1,2025-11-24
PLNB3E6AE87,26E,4091,1,2025-12-31
PLNBA5E16F1,32E,1029,1,2025-11-08
PLN8CC00DD1,26B,2073,1,2025-11-03
PLNB1DFEBD0,21C,2093,1,2025-11-04
PLNA13C0F68,13F,3044,1,2025-10-25
PLN98D56B26,22E,4013,3,2025-10-25
PLN66360715,7D,4015,1,2025-11-23
PLN0F7DD076,4B,4067,1,2025-10-15
PLNEDAB43C9,22D,1021,1,2025-11-02
